What is the supreme law of the land? ,the Constitution 
What does the Constitution do? ,sets up the governmen\\n protects basic rights of Americans
The idea of self-government is in the first three words of the Constitution.  What are these words?,We the People
What is an amendment?,a change or addition (to the Constitution)
What do we call the first ten amendments to the Constitution? ,the Bill of Rights
What is one right or freedom from the First Amendment?,speech/religion/assembly/press/petition the government
How many amendments does the Constitution have? ,27
What did the Declaration of Independence do?,announced our independence (from Great Britain) 
What are two rights in the Declaration of Independence?,"life,liberty and pursuit of happiness"
What is freedom of religion?,"You can practice any religion, or not practice a religion"
What is the economic system in the United States? ,capitalist economy
What is the “rule of law”? ,No one is above the law. 
Name one branch or part of the government ,Congress\\nlegislative\\nPresident\\nexecutive\\nthe courts\\njudicial
